,,,,,,,,,,,,
,,,,,,,,,,,,
lfd. Nr.,"Kasten, Stk",Authentitz,Format,Absender,Empfänger,Datum,Abs.- Ort,GS und Herzfeld,GB,Bemerkungen,,
143,"[B073,02",O,PK,"Rosenzweig, Franz","Oppenheim, Gertrud",1911-04-28,Berlin,,,Dat PostStp; Trudchen möchte bitte Wäsche schicken,,
144,"[B073,03",O,PK,"Rosenzweig, Franz","Oppenheim, Louis",1913-03-26,Berlin,,,Dat PostStp; will nicht - zu einem Polterabend - in Kassel sein,,
145,[B074,O,B,"Rosenzweig,  Franz","Oppenheim, Louis",1911-04-11,"Berlin-Nw, SchiffbauerD","I,1 Nr. 187",,"Dat PostStp; FR kommt nach Kassel, möchte aber bei Oppenheims wohnen.",,
146,[B075,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1911-09-28,Berlin,"I,1 Nr. 189 ...",,"Empf:Couvert; zu ""DER HELD"" und zum Fortgang der  Hegel-Dissertation",,
147,[B076,O,B,"Rosenzweig,  Franz","Oppenheim, Louis u. G.",1912-09-19,Heidelberg,"I,1 Nr. 192 ...",,"Dat PostStp; kommt n KS; wohnt z Hse, möchte aber Mahlzeiten bei Oppenheims",,
148,[B077,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-03-01,Dresden,"I,1 Nr. 488",,"Dat/Empf:Couvert; zum Paket mit der Schokolade; siehe [B78 u [G17,7; zur Krise",,
149,"[B078,01",O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-03-11,,,s.GB 56!,"Dat/Abs:Couvert;im Brief:10.III.; vgl. [B77und [B78,2-5 - Weg aus der Lebenskrise",,
150,"[B078,02",O,W,"Oppenheim, Gertrud","Rosenzweig, Franz",1918-03-00,,,,"""Auf Wiedersehen ...""; Zeit: Feb. vor ""Märzoffensive"" = 1918",,
151,"[B078,03",O,B/W,"Oppenheim, Gertrud","Rosenzweig, Franz",1918-03-00,,,s.GB 56!,"zu:[B78,1; hier: ""Auf Wiedersehen ...""; zu FR's Krise whd ""Märzoffensive"" 1918",,
152,"[B078,04",Abs.ms,W,"Oppenheim, Gertrud","Rosenzweig, Franz",1918-03-00,,,,"Gedicht ""Auf Wiedersehen ..."" Abs.ms",,
,[B079,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1916-11-13,,"I,1 Nr. 338 ...",,Dat:GS u. div. im Brf 13.11.1916 - 11.1.1917; zu Tycho Brahe; zu jüdische Kunst ...,,
155,[B080,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-02-05,Feldpost,"I,1 Nr. 351 ...",,"Dat:Brf i.V.m. PostStp; zu Zeit u Ewigkeit;""Parallelen schneiden sich im Unendl. ..""",,
156,[B081,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-05-01,Feldpost,"I,1 Nr. 395  ...",,Dat:Brf i.V.m. PostStp; zu Oekumene,,
157,[B082,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-08-21,Feldpost,"I,1 Nr. 421 ...",,"Dat:GS; Forts: 27. 08. 1917; PostStp 30. 08. 1917 - zum Namen ""Franz"" u. Lektüre",,
158,[B083,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1916-08-31,Feldpost,"I,1 Nr. 285 ...",,Dat:Brf i.V.m.PostStp;div. Daten zw. Mai u. Sept.1916; besd. 29.8! zu Frauentypen,,
159,[B084,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1917-07-09,Feldpost,,,"Dat PostStp; Briefchen, visitenkartengroß: ""Du bist dran...""",,
160,[B085,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-08-02,"FeldP. S.auch I,1 Nr. 408","I,1 Nr. 419; ...",,"Dat:GS, s.ab Brf a.E.;Zum Glauben und Zweifeln. zu Ja-Nein-Situationen;s.a.[B94",,
172,[B086,hd P,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-10-01,Feldpost,"I,1 Nr. 436 ...",,"hd FR, Durchschrift; erste LehrhsGedanken; zum ""Putianum"";s. GS III S. 371 ff",,
162,[B087,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-04-21,Feldpost,,,"Dat: hdf; ""Schreib mir gelegentlich über Mutters Zustand ...""",,
163,[B088,hd P,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1917-10-24,Feldpost,"I,1 Nr. 451 ...",,Dat:Brf u GS;zur Dostojewski-Lektüre; jüd Kder wissen nichts (mehr) von Iom Kipp.,,
164,[B089,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1918-04-26,,"I,1 Nr. 517 ...",,Dat:nach Tod von Vater Georg:1918; Brf:26.4. und 27. 04.. Über Adele u.Gritli,,
165,[B090,,,,,1918-08-13,,,,"nicht besetzt; jetzt [B91,1",,
166,[B091,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-09-25,Belgrad,"I,2 Nr. 569",,"ÜbergL u. Poststp: 1.10. 1918 - Gliederung ""Stern"".  Umschlag: 1. X. 1918",,
167,"[B091,01",O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-08-13,Feldpost,,,"Anschlus an [B93: ""Die Lagerlöf"" für Mutter zm Geburtstag",,
168,"[B091,02",O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-08-27,Feldpost,"I,1 Nr. 560",,erste Gedanken zum Stern; weiter: [B91,,
169,[B092,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1919-04-26,,,,Dat ÜbergL; nach Suizidversuch Adele.,,
170,[B093,O,B,"Rosenzweig, Franz","Oppenheim,  Gertrud",1918-08-18,Feldpost,"I,1 Nr. 555 ...",,"über Bücher; was kann man Adele z Geburtstag schenken? (s. [B91,1)",,
171,[B094,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1917-05-30,"FeldP. S.auch I,1 Nr. 419","I,1 Nr. 408 ...",,"Dat:GS u Brf S1;weiter 31.5.:PostStp[19]17-06-05;vom Ziel (Gesch.,Welt);s.a.[B85",,
172,[B095,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1917-08-13,Feldpost,,,"Dat:Brf;ÜbergL 14.08.17 u.Absd; Gedicht v E.Rosenstock z Sicherung,s.[C106,4;",,
173,[B096,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1919-08-31,,,,Dat:Brf; passt Couvert zu Brief? PostStp [19]19-08-30;  Familiensachen (Adele),,
174,[B097,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1919-05-04,Heidelberg,"I,2 Nr. 594 ...",,"Dat: Brf u GS; Zur Veröffentlichung ""Hegel und der Staat""",,
175,"[B098,01",O,PK,"Rosenzweig, Franz","Oppenheim, Gertrud",1919-06-18,"Berlin NW,Claudiusstr.14",,,Adressenmitteilung,,
176,"[B098,02",O,PK,"Rosenzweig,  Franz","Oppenheim, Louis",1919-06-29,Berlin NW,,,"""Herr gedenke der Brotkarten ...""",,
177,"[B098,03",O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-09-01,Berlin,,,Dat:PostStp; Umschlag mit kl. Notizzettel - zu Verabredungen.,,
178,[B099,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-06-08,,"I,2 Nr. 599 ...",,"Dat:Brf u GS;  ""Italien liegt vor mir ..."". Zu Hegel- und Stern-Veröffentlichung",,
179,[B100,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1919-05-07,Mannheim (PostStp),,,PostStp: 8.5.19; Zusammenwohnen mit Mutter undenkbar; Abstand zu ihr nötig.,,
180,"[C001,01",O,L,,,1891-00-00,o.O.,,,Jahreszahl auf RückS Photo; Adele Rosenzweig und Kind Franz,,
181,"[C001,02",O,L,,,o.J.,Kassel,,,"Das ""Stirn""-Bild - vgl. GS I,2 ggüb S. 1036: ""Der ""Elfjährige""=1897/98",,
182,"[C001,03",O,L,,,o.J.,Kassel,,,Schulkind,,
183,"[C001,04",O,L,,,o.J.,Kassel,,,Schulkind,,
184,"[C001,05",O,L,,,o.J.,,,,"Vergrößerung von [C1, 2",,
185,[C002,O,W,"Rosenzweig, Franz","Rosenzweig,  Rafael",o.J.,,,,"nach 1922; 8 Verse für Rafael zu Chanukka, Handschrift. Edith? Vgl. [C75",,
186,"[C003,01",O,L,"Jonas, Ludwig","Rosenzweig, Franz",1919-00-00,o.O.,,,"Dat ÜbergL (C2) 1919; Zeichnung, Kopfbild von Ludwig  Jonas",,
187,"[C003,02",O,L,"Jonas, Ludwig","Rosenzweig, Franz",1919-00-00,o.O.,,,"Dat ÜbergL (C2): 1919. Zeichnung, sitzend, lesend von L. Jonas; Logo IRG;",,
188,"[C003,03",O,L,"Jonas, Ludwig","Rosenzweig, Franz",1919-00-00,o.O.,,,"Dat ÜbergL (C2): 1919. Zeichnung, sitzend, dozierend von L. Jonas",,
189,"[C003,04",O,L,,,1905-00-00,o.O.,,,"Dat. ÜbergL (C3) 1905; FR als Schüler, Abiturient",,
190,"[C004,01",O,L,,,o.J.,o.O.,,,"[C4,1-8 diverse Photos auch Doppel 1918 - 1922",,
191,"[C004,02",O,L,,,o.J.,o.O.,,,"[C4,1-8 diverse Photos auch Doppel 1918 - 1922",,
190,"[C004,03",O,L,,,o.J.,o.O.,,,"Dat hdf auf RückS 1918. aber Doppel C4,7: 1922",,
193,"[C004,04",O,L,,,o.J.,o.O.,,,"[C4,1-8 diverse Photos auch Doppel 1918 - 1922",,
194,"[C004,05",O,L,,,o.J.,o.O.,,,"[C4,1-8 diverse Photos auch Doppel 1918 - 1922",,
195,"[C004,06",O,L,,,o.J.,o.O.,,,"[C,1-8 diverse Photos auch Doppel 1918 - 1922",,
196,"[C004,07",O,L,,,o.J.,o.O.,,,"[C,1-8 diverse Photos auch Doppel 1918 - 1922",,
197,"[C004,08",O,L,,,o.J.,o.O.,,,"[C,1-8 diverse Photos auch Doppel 1918 - 1922",,
198,"[C005,01",O,L,,,1928-00-00,o.O.,,,"[1928], FR im Krankenzimmer; s. Vermerk auf der Vergrößerung",,
199,"[C005,01,1",O,L,,,1928-00-00,,,,"Vergrößerung von [C5,1;Dat.Rücks.: 1928",,
200,"[C005,02",O,L,,,1929-12-00,,,,Totenmaske,,
201,"[C005,03",O,L,,,1929-12-00,,,,Totenmaske,,
202,"[C005,04",O,L,,,1929-12-00,,,,Totenmaske,,
203,[C006,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-09-28,Berlin,"I,2 Nr. 610 ...",,"GO zum Geb., aber hauptsl. zu einem Brief von  Lotti ( Schwester v  Gritli)",,
204,[C007,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-06-12,Leipzig,,,"zu einer Reise von Mutter Adele; Begleitung? Datum? Nicht 2. Juli, Vaters Geb.",,
[C008,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-08-29,Berlin,,,"zu Martha (Reichenbach?), zum Stern, zu einem Geschenk für Mutter Adele",,,
,[C009,O,PK,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-09-11,Frankfurt,"I,2 Nr. 607",,s. Brfe an Eduard Strauß; hier insb. [B17...nicht mehr allein; Kontakt durch GO;,,
207,[C010,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1918-09-08,Feldpost,"I,2 Nr. 568 ...",,"PostStp 8.9.18 - schickt Pakete mit Brfen, besd. ""rosenstockische"";",,
208,[C011,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1922-03-14,Frankfurt,"I,2 Nr. 713 ...",,Anfang der Krankheit (die Schrift wird weiter),,
209,[C012,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-03-27,Frankfurt,"I,2 Nr. 718 ...",,"Dat PostStp; zum Fortgang der Krankheit; ""Edith ahnt nichts.""",,
210,[C013,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-04-18,Frankfurt,"I,2 Nr. 734 ...",,"Dat PostStp; - ""ich glaube nicht mehr an umziehen."" - zur Krankheit u. Vorlsg.",,
211,[C014,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-04-10,Frankfurt,"I,2 Nr. 729 ...",,"Dat PostStp; - ""...wo ich nichts mehr zu hoffen habe, wird es ...gut ...""",,
212,[C015,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-04-21,Frankfurt,,,Dat PostStp; - dringende Bitte um Besuch;,,
213,[C016,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-05-18,Königsstein i. Ts ?,"I,2 Nr. 752 ...",,"Dat/Ort:PostStp FfM (GS:Königsstein? Plan) ""Sterben ist noch schöner als leben.""",,
214,[C017,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-11-30,Frankfurt,"I,2 Nr. 834 ...",,Dat PostStp;- die Handschrft wird unsicher; lernt zu diktieren;zur Arbeit an Halevi,,
215,[C018,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1922-00-00,Frankfurt,,,Dat ÜbergL 1922-Anfang? Stern erschien 1921; Schrift auch besser als [C17,,
216,[C019,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-11-14,Frankfurt,"I,2 Nr. 829 ...",,Dat PostStp;Empf:Couvert u GS;wackelige Handschrft. Fragment? - zu R. Hallo,,
217,[C020,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1922-10-30,Frankfurt,"I,2 Nr. 826 ...",,Dat PostStp;Empf:Couvert; zum Übers. und schwierige Verständigg mit Eugen,,
218,[C021,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-07-04,Frankfurt,"I,2 Nr. 786 ...",,"Dat PostStp;Empf:Couvert; ""Über die demokratische Politik bin ich entsetzt ...""",,
219,[C022,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1921-09-30,"Badisch Rheinfelden, FfM","I,2 Nr. 680 ...",,"Dat/Ort:Couvert;Adeles Abwehr des Lehrhaus-die Kasseler Erfolge-z.""Tischdank""",,
220,[C023,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1921-10-06,Frankfurt,"I,2 Nr. 683 ...",,Ort PostStp; Über Lob f d Stern und zur Predigtkraft von Nehemia Nobel,,
221,[C024,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-05-27,Frankfurt,"I,2 Nr. 759 ...",,Dat PostStp; über das Begleiten bis zum Abschied; Sprache schlechter-,,
222,[C025,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-06-06,Frankfurt,"I,2 Nr.767 ...",,"Empf:Couvert; zu Edith, die nichts zu merken scheint; zum Moment der Wahrheit ...",,
223,[C026,O ms Korr,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1924-01-27,Frankfurt,"I,2 Nr. 903 ...",,Dat:hdf auf Brf; PostStp passt nicht dazu; ms mit Verdeutlichung.,,
224,[C027,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1920-10-24,Frankfurt,"I,2 Nr. 644 ...",,Klagen über Nahestehende; das Lehrhaus kommt gut voran.,,
225,[C028,O,B,"Rosenzweig, Franz u.Ed.","Oppenheim, Gertrud",1922-08-22,Frankfurt,"I,2 Nr. 801 ...",,Dat PostStp;eilige Fußzeile von Edith. Zu den Randtiteln im Stern; Hilfe von Hans E.,,
226,[C029,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-10-06,Frankfurt,"I,2 Nr. 818 ...",,Dat PostStp;Empf:Couvert; über Rafael; über die Wohnsituation,,
227,[C030,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1921-00-00,,,,"Dat ÜbergL (vgl C18?).; Frage nach Sendung ""Stern"" an Trudchen vom Verleger",,
228,[C031,O,B,"Rosenzweig, Franz","Oppenheim,  Gertrud",1922-07-30,Frankfurt,,,Dat hdf; zu einem geplanten Besuch von GO; Buridans Entscheidg.,,
229,[C032,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1922-08-14,Frankfurt,,,Dat PostStp; Adresse hdf; Landgraf-Karl-Str. 46! zeitw. Adresse von Louis O.,,
230,[C033,O,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1922-08-29,Frankfurt,"I,2 Nr. 805 ...",,Dat/Empf: Couvert; zu Buber; was ist Epoche; das Lehrhaus in der Bewährung,,
231,[C034,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1922-09-02,Frankfurt,,,Dat hdf; Edith paar Tage verreist. Ob GO kommen kann?,,
232,[C035,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-06-13,"Frankfurt,(Königsstein?)","I,2 Nr. 771 ...",,"Dat/Empf:Couvert; Edith-ärztl.-Wahrheit ü Krankht gesagt;vgl. Edith an GO, [G26,4",,
233,[C036,O,B,"Rosenzweig, Franz u. Ed.","Oppenheim, Gertrud",1923-01-05,Frankfurt,"I,2 Nr. 842 ...",,Dat hdf;Empf: Couvert; Brf Franz hdf; Brief Edith hd; die Arbeit wird so schwer.,,
234,[C037,ms P,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1923-06-01,Frankfurt,"I,2 Nr. 864  ...",,Dat/Empf: Couvert u. ÜbergL;,,
235,[C038,hdf K,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1924-07-00,Frankfurt,K v [B003,,"Dat: in [B3 RückS Jahreszahl, zittrig; s. auch GS; vom Opfer u. zu Rudolf Hallo",,
236,"[C039,01",O ms Korr,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1924-04-15,Frankfurt,,,Original.ms mit Nachziehen; Lesen wird schwer wg.Umblättern;Curtius;Vorurteile,,
237,"[C039,02",O,B,"Rosenzweig,  Edith","Oppenheim, Gertrud",1924-04-15,Frankfurt,,,"Empf: Couvert; ""innerlich und äußerlich abgehetzt""",,
238,[C040,hdf P,B,"Rosenzweig, Franz u. Ed.","Oppenheim, Gertrud",1925-06-16,Frankfurt,"I,2 Nr. 1024 ...",,Empf:Couvert; treue Freunde; der Stern nicht nur für Männer..,,
239,[C041,O ms Korr,B,"Rosenzweig, Franz u. Ed.","Oppenheim,  Gertrud",1924-04-03,Frankfurt,,,jeder Laut von außen willkommen; zur Kritik an Jehuda; Gruß von Edith: keine Zeit.,,
240,[C042,O ms Korr,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1924-05-20,Frankfurt,"I,2 Nr. 929 ...",,"Vgl. 1924-06-04 = I,2 Nr. 936; zum Beruf des Dichters; engl. Anm. Rafael?",,
241,[C043,hdf P,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1925-01-16,Frankfurt,"I,2 Nr. 988 ...",,Empf: Couvert; Besuche wichtig! Schreiben so schwer. Zu Spitteler,,
242,[C044,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-10-31,Frankfurt,K v [B009,,"zu Josua und Rilkes Gedicht ""Josuas Landgang""",,
243,[C045,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-10-16,Frankfurt,K v [B011,,Erklärung zu den biblischen Namen,,
244,[C046,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-09-30,Frankfurt,K v [B010,,zum Buch Richter,,
245,[C047,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-08-29,Frankfurt,K v [B048,,"Wellhausens ""Israelitische u. jüdische Geschichte""-Grundbuch d.htgen W.schaft",,
246,[C048,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-06-02,Frankfurt,K v [B013,,zu Bibelübersetzung,,
247,[C049,O,B,"Rosenzweig,  Franz","Oppenheim, Gertrud",1922-07-07,Frankfurt,,,"Dat/Empf:Couvert; zu Bubers Daniel; ""Es geht mir zunehmend dreckiger. ..""",,
248,[C050,O,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1922-06-00,Königsstein i. Ts,,,Dat ÜbergL u. hdf Vermerk; zu Edith u Wahrheit; zu Buber; zur 2. Aufl. d. Stern,,
249,[C051,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-05-30,Frankfurt,K v [B015,,"zu Bileam und zum Formgeheimnis; fremde Schrift - Edith  zeichnet mit ""Franz""",,
250,[C052,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1927-05-25,Frankfurt,K v [B012,,Bibelkunde; Parallele zu Kafka (Schloss),,
251,[C053,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1926-05-10,Frankfurt,,,"""Schon wochenlang keine Zeitung gelesen ...""; kommt nicht zum Antworten",,
252,[C054,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1926-01-05,Frankfurt,"I,2 Nr. 1069 ...",,"Zu Bernd Hofmann;Pädagogik;Knigge;Agnes, Tochter GO;Dank f Geburtstagsbrf",,
253,[C055,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1925-07-21,Frankfurt,,,"zu R. Hallo u.a.; zu einem Besuch von Gritli, der nicht glücklich war.",,
254,[C056,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1925-06-09,Frankfurt,"I,2 Nr. 1022 ...",,zur neuen Musik,,
255,[C057,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1925-01-28,Frankfurt,K v [B014,,Rafaels Frankfurterisch ...,,
256,[C058,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1928-06-28,Frankfurt,,,"zu Josua und Richter; ""Du verwechselst... immer noch..""",,
[C059,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1929-09-30,Frankfurt,K v [B016,,""" ... all meine gewohnte Munterkeit verloren ...""; zu Rafael: macht ihn ""vaterstolz""",,,
,[C060,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1929-02-19,Frankfurt,K v [B004,,zu Kafka (Schicksl; Gott; Gewissen); zu den Musik -Aufsätzen im Kass .Tageblatt,,
259,[C061,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1928-09-28,Frankfurt,K v [B005,,zum Stern - Palimpsest von Eugen Rosenstocks ungeschrb. großem Buch,,
260,[C062,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1928-07-10,Frankfurt,"K v [B008,3",,zur Bibelübersetzung und zum Verstehen,,
261,[C063,hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1928-07-03,Frankfurt,"K v [B008,2",,"zu Marianne (Tocht GO) als Bonne, die Rafael vom christl. 'Relions'unterr. erzählt",,
262,[C064,hdf P,B,"Rosenzweig, Franz","Oppenheim, Gertrud",1928-06-12,Frankfurt,"I,2 Nr. 1199 ...",,ohne U. Fragment? zu Marianne; zu Wittig; Buber verreist - Zeit für Briefe,,
263,"[C065,01",O,PK,"Rosenzweig,  Franz u.a.","Frank, Gertrud",1903-12-20,Kassel,,,"Dat PostStp;Viele Unterschriften; oben rechts: ""Gruß Franz"". EmpfAdr:Kö.58 II:",,
264,"[C065,02",O,PK,"Rosenzweig, Edith u.a.","Oppenheim, Gertrud",o.J.,Kassel,,,Ort/Empf: Karte; eine Verabredung: Edith und Gertrud Hallo mit GO,,
265,"[C065,03",O,PK,"Rosenzweig,  Franz","Oppenheim, Gertrud",o.J.,Frankfurt,,,wg. Besuchs in FfM; Schrift z. Zt. Anfang der Krankheit,,
266,"[C065,04",O,PK,"Rosenzweig,  Franz","Oppenheim, Gertrud",o.J.,Frankfurt,,,Schrift wie im Anfg in Ffm; Adresse von Edith;viel Arbeit für Lehrhaus,,
267,"[C065,05",hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1926-06-26,Frankfurt,,,Bitte um Kommen; den ganzen Tag war Buber da,,
268,"[C065,06",hdf K,PK,"Rosenzweig,  Franz","Oppenheim, Gertrud",1928-05-08,Frankfurt,,,"Bleistiftvermerk hd GO: ""8.5.28 Postkarte""",,
269,"[C065,07",hdf K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1928-07-31,Frankfurt,"K v [B008,4",,,,
270,[C066,O,W,"Rosenzweig, Franz","Rosenzweig, Adele",1905-09-09,Vitznau-Vierwaldst.See,,,"Gedicht.: Es war vor manchem Jahr und Tag...Vgl. [A25,1 und [C85",,
271,[C067,ms P Korr,B,"Rosenzweig , Franz","Mayer, Dr., Eugen",1923-11-06,Frankfurt,"I,2 Nr. 888 ...",,"Von Edith Rosenzweig verdeutlicht, vgl. GS I,2 ggüber S. 927; zu Vorlesg Buber",,
272,[C068,hdf P,W,"Rosenzweig, Franz","Rosenzweig, Rafael",1923-00-00,Frankfurt,,,"Erzählg für Rafael von der Reinhard'schen Grundschule; s. [A25,1, S.IV f",,
273,[C069,O,Dk,Standesamt Kassel,"Rosenzweig, FR betr.",1920-02-05,"Kassel,Auszg geb.Reg.",zwcks Eheschlßg .,,"Absd:Geburtsurkunde vom 28. Dez. 1886, Beurkdg Geburt am 25. Dez. 1886",,
274,[C070,O,Dk,Rotes Kreuz,"Rosenzweig, FR betr.",1914-09-09,Berlin,,,Beschngg GenSchaft frw. Krkenpfleger ü Mitglschaft zu Befrg vom Landsturm,,
275,[C071,O,S,Ernst Simon,"Rosenzweig, FR betr.",1936-12-25,Jerusalem (Ivrit;Bild F.R.,DruckSache,,"Hebräisch; Autor: ÜbergL; FR z. 50. Geb. Zeitung ""Haaretz""",,
276,"[C072,01",O,B,"Rosenzweig, Adele","Simon,  Ernst",1930-06-17,Kassel,,,Dat ÜbergL; zur vorhandenen Korrespondenz (für Sammlung),,
277,"[C072,02",O,B,"Rosenzweig, Edith  (?)","Rosenzweig, Rafael",1930-00-00,,,,"wie [C72,1 zur Smlg von Brfen für Nachlass; zu Mutter  vgl. GO in [A27 u Schrift",,
278,[C073,O,W,"Rosenzweig, Adele","Rosenzweig,  Rafael",1925-11-25,,,,"Autorin:Schrift ;""Als Franz so alt war ...""; mit Anm. Edith;s. a.[A25;[C66;[C68;",,
279,[C074,O,W,"Rosenzweig, Franz","Rosenzweig, Edith",1927-03-28,Frankfurt,,,"""Als Bräutigam versäumt ich dran zu denken ...""; zum siebten  Hochzeitstag",,
280,[C075,O,B,"Rosenzweig,  Rafael u. Ed","Rosenzweig, Adele",1926-03-15,Frankfurt,,,S.1 Diktat von Rafael; S.2 Edith über Rafael (gewöhnt an was?);Stimmung im Hs,,
281,[C076,K,S,"Tuteur, Dr. R.","Rosenzweig, FR betr.",1930-00-00,,"I, 2 S. 1067 u.1236",,"Autor/Dat ÜbergL; Bericht ü Krankht, Entwicklg u. ihre Bedeutung für alle!",,
282,[C077,O,S,"Koch, Richard","Rosenzweig, FR betr.",1948-02-01,Essentuki i. Kaukasus,,,"Dat: Brf a.E.;Ort: Stadt in Russland am Fuße des Kaukasus, Erinnerg an FR",,
283,[C078,O,W,"Hallo,  Rudolf","Rosenzweig, Franz",1924-07-20,o.O.,,,Gedicht zum Lob der Übersetzung Halevi,,
284,[C079,O,B,"Beer-Hoffmann, Richard","Rosenzweig, Franz",1927-12-19,Wien,,,Empfg ÜbergabeL - Zusendung eines Textes über Musik?,,
285,[C080,O,B,"Huch, Ricarda","Rosenzweig, Franz",1921-09-17,"München, Kaulbachstr.35",,,"Zum Stern; Brief in GS I,2 Nr. 680 dankbar erwähnt",,
286,[C081,K,B,"Ehrenberg, Hans",???,1929-12-22,Bochum,,,"Adressat, evtl. Ed. Strauß -FR nahe-? Über Artikel in der Ff Zeitung - nach Tod.",,
287,[C082,K,B,"Weizsäcker, Victor von","Buber, Martin",1929-12-20,Heidelberg,,,Kondolenz,,
288,[C083,K,B,"Simon, Ernst","Buber, Martin",1929-12-12,Jerusalem,,,"Kondolenz;""hoffe hier [Jerus.]  eine Trauerkundgebung zu machen; zu Personen",,
