,Sender,Recipient,Date,Sender Location,Recipient Location,Archive,Rauner Item ID,Published,Copyright Holder,Comments
150,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-08-15,,,Kassel,,,,"""Liebes Gritli --stumm vor zwei Worten, möchte weiter nichts schreiben ..."""
151,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-08-16,,,Kassel,,,,zu Rudis Roman in Predigten; zu Cohens System der Philosophie / Logik
152,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-08-17,,,Kassel,,,,die Auslassungen betreffen Frau Suzmann und Thesen zur Astrologie
153,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-08-17,,,Kassel,,,,zum Urlaub und Gritli im Blau
154,"Rosenzweig, Franz","Oppenheim,  Gertrud",1918-08-18,Feldpost,,Kassel,,,,"über Bücher; was kann man Adele z Geburtstag schenken? (s. [B91,1)"
155,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-08-18,,,Kassel,,,,zu einem BrfWchsel Eugen/Hans; zu Cohens System der Philosphie/Logik
156,"Rosenzweig, Franz","Rosenstock-H ., Margrit",1918-08-19,,,Kassel,,,,"""Ich bin recht innerlich zerwütet"" - Einteilung zum Nachtdienst stört Arb. am Stern"
157,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-08-20,,,Kassel,,,,von der Wirkung des Kriegs auf die eigene Zukunft; um die Jahre betrogen
158,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-21,,,Kassel,,,,"""Nimms nicht überschwer, was ich dir gestern schrieb."" näml am 20. 08. 1918"
159,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-22,,,Kassel,,,,"Entfaltung der Stern-Grafik; siehe [D6; Bezug auf ""Keimzelle"""
160,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-08-22,,,Kassel,,,,"von der Zeit; zu ""Leib - Geist - Seele""; zum 'Gritlianum'"
161,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-23,,,Kassel,,,,"zum Stern, noch als Vorhaben; Gedanke der 2  Dreiecke schon da."
162,"Rosenzweig,  Franz","Rosenstock-H., Margrit",1918-08-24,,,Kassel,,,,"""Das Unheil nimmt seinen Lauf. Ich habe angefangen, eine Einleitung zu schreiben"""
163,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-08-25,,,Kassel,,,,"noch immer ""Skatzwang""=Nachtwache; immerzu Sternchen malen; die Eidechsen"
164,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-08-26,,,Kassel,,,,"zu Eugens ""Antiastrologikum"" = FR: ""Sonne Mond und Sterne"" (s. GB  S. 130)"
165,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-26,,,Kassel,,,,zur Funktion  des Dreiecks als Symbol; zu einer Arbeit von Eugen
166,"Rosenzweig,  Franz","Rosenstock-H., Margrit",1918-08-27,,,Kassel,,,,"zu Eugen und zum ""Gritlianum"""
167,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-08-27,Feldpost,,Kassel,,,,erste Gedanken zum Stern; weiter: [B91
168,"Rosenzweig, Franz","Rosenstock-H. , Margrit",1918-08-28,,,Kassel,,,,"fehlt in Kurzliste; Gritli in Kassel; Denken an das ""grüne Zimmer"" in Terrasse 1"
169,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-08-29,,,Kassel,,,,"zum Stern: Offenbarung, Schöpfung,  Erlösung"
170,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-08-30,Jahr hdf. Dat GB,,Kassel,,,,"zum Krieg; ""Sonne, Mond und Sterne"" nochmal gelesen, s. GB S.130"
171,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-08-30,,,Kassel,,,,zum Stern und gleichzeitig Urlaubspläne; Bedeutung des Kriegs für sein Leben
172,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-08-31,,,Kassel,,,,"der ""Plan"" des Stern"
173,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-09-01,,,Kassel,,,,drei Briefe von Gritli kamen an - ...
174,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-09-02,Dat. In Kurzliste abw.,,Kassel,,,,zum Fortgang am Stern; Bezug zu Joachim v Fiore; der Wert eines Briefes
175,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-09-02,,,Kassel,,,,"zum Stern und zum Krieg; zu ""Sonne Mond u Sterne"" (""dünne Stelle"")"
176,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-09-03,o.O.,,Kassel,,,,"zum Nahsein und Fernsein in Briefen-""Heiligenscheine muss man täglich rasieren"""
177,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-09-03,,,Kassel,,,,zu einem Buch Eugens über Revolution
178,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-09-04,,,Kassel,,,,"""Ich muss dir wieder mal vom 'Stern' erzählen."""
179,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1918-09-04,Feldpost,,Kassel,,,,Gliederung Stern - Buch angefangen; Bezugn auf GB S. 137: erste Inhaltsangabe
180,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-09-05,,,Kassel,,,,"zu Mutter nach Vaters Tod; Erinnerung an Frau Cohen, die auch vw. ist."
181,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-09-07,,,Kassel,,,,"zum Fortgang des Stern, zu Rudis Predigtroman"
182,"Rosenzweig, Franz","Rosenstock-H. , Margrit",1918-09-08,,,Kassel,,,,"""Kennst du das Papier ?"" Papier und Tinte als Beschaffungsprbl. ""Deckadresse"""
183,"Rosenzweig,  Franz","Oppenheim, Gertrud",1918-09-08,Feldpost,,Kassel,,,,"PostStp 8.9.18 - schickt Pakete mit Brfen, besd. ""rosenstockische"";"
184,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1918-09-09,,,Kassel,,,,"üb. den Unterschied von ""geistig"" und ""geistlich""; Hegel weiß den nicht"
185,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-09-10,,,Kassel,,,,"zu Weizsäcker, Kähler u.a.; zu Leib und Seele bei Hans E. und Eugen R."
186,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-09-11,,,Kassel,,,,"""Liebes Gritli ..."" = Chiffre, alles steckt drin; zum Edertal, zum Wildunger Altar;"
187,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-09-12,,,Kassel,,,,"""Ich darf nach Üsküb ... "" zu den Rohdeschen Briefen"
188,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-09-14,,,Kassel,,,,"zu Üsküb. Briefteil vom 15. 09. 1918 nicht in [D9,46 enthalten."
189,"Ehrenberg,  Rudolf","Rosenstock-H., Eugen",1918-09-15,,,Kassel,,,,"zu Rudis Buch ""Hebr.10,25, Ein Schicksal in Predigten"" (in Arbeit)"
190,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-09-17,,,Kassel,,,,"""...ich wollte, meine Liebe wäre lauter."" Zu Vergebung der Sünde - Ps 130,4ff"
191,"Rosenzweig, Franz","Oppenheim, Gertrud",1918-09-25,Belgrad,,Kassel,,,,"ÜbergL u. Poststp: 1.10. 1918 - Gliederung ""Stern"".  Umschlag: 1. X. 1918"
192,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-09-30,Belgrad,,Kassel,,,,aus dem Feld; geschoren und abgehetzt; Mut zum Stern verloren; Kriegslage
193,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-01,,,Kassel,,,,"zum Stern I,3, Zusammenhang mit ""Urzelle"""
194,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-02,,,Kassel,,,,"Ende d Krieges; Schuldfrage? Stern Übergang I nach II, Einarbeitung der Komment."
195,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-10-03,,,Kassel,,,,"""noch kein Brief von dir "" zu Stern - Trotz=Treue; Bd II verstehen; wie wird III?"
196,"Rosenzweig,  Franz","Rosenstock-H., Margrit",1918-10-03,,,Kassel,,,,ein  Block gemischten Papiers; zur Nachkriegspolitik - zur Republik; zum Stern
197,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-10-04,,,Kassel,,,,zur Entstehung des Stern als Schau; Nachtgedanken am Morgen nicht fassbar
198,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-10-05,,,Kassel,,,,"Post nach Dtld dauert 14 Tage; zu Dtld nach dem Krieg-so klein! - Stern I,2 fertig"
199,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-10-06,,,Kassel,,,,"zum Kriegsende; zur Stammtischstimmung auf der Stube gegen ""die Großen"""
200,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-10-07,,,Kassel,,,,zum Kriegsende; zum Stern- Offenbarung ist zweite Schöpfung
201,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-10-08,,,Kassel,,,,"zum Stern, 2. Teil, zweite Einleitung, zum Wunder - Erfüllung o.Offenb.; NT : AT"
202,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-10-09,,,Kassel,,,,"mit Stern II,1 angefangen; Einfluss Cohens auf die Gedanken, besd. Offenbarung"
203,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-10,,,Kassel,,,,"Fortgang des Stern; zum Islam (in II),"
204,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-11,,,Kassel,,,,an Gritli und Eugen; zu den Kriegsergebnissen; um ihn herum Religionsgespräch
205,"Rosenzweig,  Franz","Rosenstock-H., Margrit",1918-10-12,,,Kassel,,,,"weiter am Stern, trotz schlechter Bedingungen; zur Lage nach Bethmanns Sturz"
206,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-13,,,Kassel,,,,zum Begriff der (Gott-)Versuchung; Übergang zu III; zum Kriegsende
207,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-10-13,,,Kassel,,,,"""Mir ist ganz zivil ...""  Dampferfahrt auf Donau und Save"
208,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-19,,,Kassel,,,,den ganzen Tag auf Abreise - sehe den tanzenden Stern - zum Fortgang
209,"Ehrenberg,  Rudolf","Rosenstock-H.,  Eugen",1918-10-20,,,Kassel,,,,"Kontaktaufnahme der Freunde nach dem 1.W.Krieg; Eugen noch ""Sie"" genannt."
210,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-10-25,,,Kassel,,,,"""Ich bin noch ganz verschlafen, in Marburg..aufgewacht. Von da fuhrst du mit mir"""
211,"Ehrenberg,  Rudolf",Rosenstock-H . Margrit,1918-10-27,,,Kassel,,,,"Kontaktaufnahme der Freunde nach dem 1.W.Krieg; Gritli  noch ""Sie"" genannt."
212,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-10-28,Freiburg i.Br.,,Kassel,,,,wieder in der Kaserne in Feiburg; Herr Mündel schreibt den Stern ins Reine.
213,"Ehrenberg,  Rudolf","Rosentock-H., Eugen",1918-10-28,,,Kassel,,,,"Kontaktaufnahme nach d. 1.W.Krieg - weiterleben, wieder leben nach dem Krieg"
214,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-29,Freiburg i. Br,,Kassel,,,,in der Garnison; Erinnerungen an die Studienzeit in Freiburg
215,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-30,Freiburg i. Br.,,Kassel,,,,"Begegnungen in Freiburg, Kähler; Leben in der Garnison"
216,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-10-31,,,Kassel,,,,Doris v. Beckerath gestorben
217,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-11-02,Freiburg i. Br.,,Kassel,,,,zu Stern; zum politischen Fortgang nach d Krieg; Unterkunft für Mutter in Frbg?
218,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-11-08,"""am Münsterplatz!""",,Kassel,,,,"zum Stern, II nach III; Unterkunft in Freiburg - man wird schon wieder wählerisch ..."
219,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-11-09,,,Kassel,,,,gg. Erklärg der Offenbarung bei Cohen: Gott gibt sich in der Off.; Revolution in D.
220,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-11-10,Freiburg,,Kassel,,,,zu Wiederbegegnung mit Siegfried  Kähler; pol.Situation; Zufall und erstes Sehen
221,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-11-14,,,Kassel,,,,"zum Fortgang des Stern. ""Das Buch schreibt sich eigentlich von selbst."""
222,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-11-15,,,Kassel,,,,"Stern II,2 ist fertig; bald vorlesen; Neuanfang mit Kähler"
223,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-11-19,,,Kassel,,,,Wie sollen die Bücher des Stern  heißen?
224,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-11-19,,,Kassel,,,,"Anschluss an 18. 11. 1918, S. 193:"
225,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-11-20,,,Kassel,,,,zu den einzelnen Teilen in Stern II; zu Spannungen mit Mutter; zum Hegelprojekt
226,"Rosenzweig, Franz","Rosenstock-H. , Margrit",1918-11-21,Freiburg,,Kassel,,,,"über Reinschrift des Stern mit Hr. Mündel; über Eugens Buch ""Könige u. Stämme"""
227,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-11-24,Freiburg,,Kassel,,,,zum Abschreiben des Stern; zu Cohen
228,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-11-25,,,Kassel,,,,zum Verständnis von Religionsphilosophie
229,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-11-26,Freiburg,,Kassel,,,,"zum Stern II,1-3 und zum Abschreiben"
230,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-11-27,Freibur g,,Kassel,,,,"Fragment von GB S. 200 f, hier S. 201; ""Gute Nacht ist schöner als guten Morgen"""
231,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-12-01,,,Kassel,,,,zu Gritlis Mutter
232,"Ehrenberg, Rudolf","Rosenzweig,  Franz",1918-12-26,,,Kassel,,,,"hd: Rudolf Ehrenberg, s.[D11 ; er unterschreibt aber mit ""Franz""; s. auch Inhalt"
233,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-01-04,,,Kassel,,,,"... die ersten 1,5 Seiten; zu ""Brot und Wein gemeinsam"""
234,"Rosenzweig, Franz","Kahn, Mawrik",1919-01-05,,,Kassel,,,,Dat hdf; so auch in GS; zu Religion und Gebet
235,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-02-01,Heidelberg,,Kassel,,,,Dat ÜbergL; 2. Brf. 01. 05. 1919; z Gespr m. d. Freunden und z. Hegelbuch.
236,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-02-01,,,Kassel,,,,"Dat in KurzL abw; aber hdf eindeutig, arg:Absd will ""Mitte Februar hier fertig sein."""
237,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1919-02-16,,,Kassel,,,,zur Fertigstellung des Stern III
238,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-02-24,Jahr GB,,Kassel,,,,"""Wenn die Christen anfangen sich zu judaisieren, sind wir verloren"""
239,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-02-25,Kassel,,Kassel,,,,Dat und Adr Couvert u. PostStp; zum Abschluss des Stern
240,"Rosenzweig, Franz","Rosenstock-H., Margrit",1919-02-26,,,Kassel,,,,"Dat:  keine Post! ""Es scheint wirklich zu spartakussen"" ~Aufstand 5. 1. 1919)"
241,"Rosenzweig, Franz","Kahn, Mawrik",1919-02-26,,,Kassel,,,,"""Scholems Artikel habe ich inzw. schon erwischt und gelesen ...!  Zum Tun"
242,"Georgier, Boris","Einstein, A., Buber, M.",1919-03-06,Berlin,,Kassel,,,,"Foto von einer Porträtzeichnung; Photograph Hermann Boll, Berlin"
243,"Ehrenberg,  Rudolf","Rosenstock-H ., Eugen",1919-04-17,Göttingen,,Kassel,,,,"zu e schwierigen Lage, in der Eugen mit einem Hr Weidemann ist. Gritli zu Besuch"
244,"Rosenzweig,  Franz","Rosenstock-H., Margrit",1919-04-25,,,Kassel,,,,zu Nachricht von GO über Suizidversuch von Mutter Adele
245,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1919-04-26,,,Kassel,,,,Dat ÜbergL; nach Suizidversuch Adele.
246,"Rosenzweig, Franz","Rosenstock-H., Margrit",1919-04-28,Dat. in GB,,Kassel,,,,"Fragment, Kopie ab GB S. 286 3. Absatz: ""...nicht Sache der Frau ..."""
247,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-05-01,Heidelberg,,Kassel,,,,Jahr hdf; Verhältnis zu Adele; zu Viktor v. Weizsäcker
248,"Rosenstock , Eugen","Rosenzweig, Adele",1919-05-03,Säckingen,,Kassel,,,,Eugen schreibt Adele nach Ihrem Suizidversuch; vgl. GB S. 282
249,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1919-05-04,Heidelberg,,Kassel,,,,"Dat: Brf u GS; Zur Veröffentlichung ""Hegel und der Staat"""
250,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-05-05,Mannheim,,Kassel,,,,"Dat Brf, Jahr hdf; PostStp.6.5.1919; zu Spengler u. zu Kassel"
251,"Ehrenberg,  Rudolf","Rosenstock-H. , Eugen",1919-05-06,Göttingen,,Kassel,,,,"nochmal zu Brief [T6; wie es Adele in Kassel geht, sie wird mit Bruder verreisen."
252,"Rosenzweig, Franz","Oppenheim, Gertrud",1919-05-07,Mannheim (PostStp),,Kassel,,,,PostStp: 8.5.19; Zusammenwohnen mit Mutter undenkbar; Abstand zu ihr nötig.
253,"Ehrenberg, Rudolf","Rosenstock-H., Eugen",1919-05-10,G.öttingen,,Kassel,,,,"Austausch ü. einen 3.; zu Kafkas ""Prozess""; Reisepläne zu den Freunden"
254,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-05-14,Heidelberg,,Kassel,,,,"Dat:PostStp. Zu den ""Predigten; zu R. Huchs ""Luther""; z. Hegelbuch; zu e.Gedicht"
255,"Ehrenberg,  Rudolf","Rosenstock-H.,  Eugen",1919-05-19,,,Kassel,,,,Forts. 20. 5. morgens; zu Texten für gepl.Jahrbuch(?);Vorlesgen; Eugen nach S?
256,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-05-21,Heidelberg,,Kassel,,,,"zu Rudi's Buch ""Ein Schicksal in Predigten"""
257,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-05-24,Rembertow / Warschau,,Kassel,,,,"Ort Brf; Dat PostStp - F.A. Rembertow, 2. Lehrbatterie, Schießschule"
258,"Ehrenberg, Rudolf","Rosenstock-H., Eugen",1919-05-28,G.öttingen,,Kassel,,,,"""Predigten"" fertig, Eugen möchte sie binden lassen als KorrekturEx; Reisepl Leipzig"
259,"Ehrenberg,  Rudolf","Rosenstock-H., Eugen",1919-05-30,Göttingen,,Kassel,,,,"Dank für Anerkennung der ""Predigten""; will das Buch veröffentlichen"
260,"Ehrenberg,  Rudolf","Rosenstock-H. , Eugen",1919-06-03,Göttingen,,Kassel,,,,zur Verständigung im Glauben - protestantisch / katholisch; Empfdg großer Nähe
261,"Ehrenberg,  Rudolf","Rosenstock-H. , Eugen",1919-06-05,"Göttingen, Physiolog. Inst",,Kassel,,,,"Rudi genießt den Austausch mit dem Freund; deutet Arbeit an ""Schwester""  an."
262,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-06-06,Berlin,,Kassel,,,,Dat. a.E.; zu Fritz  Kern; zu Eugens christlich (katholisch-) sein
263,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-06-08,,,Kassel,,,,"Dat:Brf u GS;  ""Italien liegt vor mir ..."". Zu Hegel- und Stern-Veröffentlichung"
264,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-06-12,Leipzig,,Kassel,,,,"zu einer Reise von Mutter Adele; Begleitung? Datum? Nicht 2. Juli, Vaters Geb."
265,"Ehrenberg,  Rudolf","Rosenstock-H. , Eugen",1919-06-15,Göttingen,,Kassel,,,,"zu Text von Eugen ""Die Frucht des Todes"";""Predigten"" in Leipzg vorgels; Franz da"
266,"Rosenzweig, Franz","Oppenheim, Gertrud",1919-06-18,"Berlin NW,Claudiusstr.14",,Kassel,,,,Adressenmitteilung
267,"Ehrenberg,  Rudolf","Ehrenberg, Hans",1919-06-19,Göttingen,,Kassel,,,,"schickt einen Einakter (""Schwester""?) zum Lesen und Weitergb an Rosenstocks"
268,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-06-21,Jahr GB,,Kassel,,,,zur Konstruktion des Stern
269,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-06-23,Dat. in GB,,Kassel,,,,zu allerlei - Zeit und Zeiten bei Juden und Christen
270,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-06-24,Tag in GB,,Kassel,,,,zur Konstruktion des Stern
271,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-06-24,Berlin NW,,Kassel,,,,"Dat PostStp; Interna der Freunde und Stern, Vgl. I,2 Nr. 600 an Hans Ehrenberg"
272,"Ehrenberg, Rudolf","Rosenstock-H.,Margrit",1919-06-26,Göttingen,,Kassel,,,,"Gritli ist krank. Hoffentlich kommt das Frd.Treffen im Aug. zustande; zu ""Predigten"""
273,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-06-27,Berlin NW,,Kassel,,,,"Dat PostStp; Interna und zu ""Predigten""."
274,"Rosenzweig,  Franz","Rosenstock-H., Eugen",1919-06-27,Jahr GB,,Kassel,,,,zum Stern
275,"Rosenzweig, Franz","Rosenstock-H.,  Eugen",1919-06-28,Jahr hdf. Dat GB,,Kassel,,,,zu Kirche - Staat- Gesellschaft
276,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-06-29,Jahr GB,,Kassel,,,,"Geschichtsphilosophie; zu Zeiten, Epochengrenzen; (1789 - 1914 - 1919)"
277,"Rosenzweig,  Franz","Oppenheim, Louis",1919-06-29,Berlin NW,,Kassel,,,,"""Herr gedenke der Brotkarten ..."""
278,"Ehrenberg,  Rudolf","Rosenstock-H. , Eugen",1919-07-02,Göttingen,,Kassel,,,,zum Verlag für Predigten und für Stern; zum Miteinander von Juden u Christen
279,"Rosenzweig,  Franz","Rosenstock-H., Eugen",1919-07-02,Jahr GB,,Kassel,,,,zu seinem Judesein und dem Christsein der Deutschen
280,"Beckerath, Emil","Rosenzweig, Franz",1919-07-03,Leipzig,,Kassel,,,,"Absd PK, Aus Berlin nachgesandt nach Stuttgart; dort Gritli krank"
281,"Ehrenberg,  Rudolf","Rosenstock-H. , Eugen",1919-07-08,Göttingen,,Kassel,,,,"""Frau Gritli"" noch krank; zum Verlag für die ""Predigten"""
282,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-07-09,Stuttgart,,Kassel,,,,Dat PostStp; zu Rudis Anmerkungen zu Stern III
283,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-07-10,Stuttgart,,Kassel,,,,Dat hdf; GS abw.;PostStp.unleserlich; zu Rudis Verstehen von Stern III;
284,"Ehrenberg,  Rudolf","Rosenstock-H.,  Margrit",1919-07-10,Göttingen,,Kassel,,,,ein Kuchenpaket ans Spital f Gritli konnte nicht zugest. werden?; zu div. Texten
285,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-07-12,Stuttgart,,Kassel,,,,Dat PostStp;Brf auf TelForm;Hans E. hat zu einem theol. Werk von Eugen geschrb.
286,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-07-17,G.öttingen,,Kassel,,,,zu einer ablehnenden Kritik von Franz und Eugen an Ruditexten
287,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-07-18,,,Kassel,,,,"Kopie  nicht (mehr?) in Mappe; ein Ms. zu ""Predigten"" ging verloren"
288,"Ehrenberg,  Rudolf","Rosenstock-H., Eugen",1919-07-19,G.öttingen,,Kassel,,,,"zum Erscheinungsbild der ""Predigten"""
289,"Ehrenberg, Rudolf","Rosenstock-H.,  Eugen",1919-07-19,G.öttingen,,Kassel,,,,Fragm.; zum wachsenden Antisemitismus in GÖ; selbst in sich Jude und Christ
290,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-07-20,auf  Fahrt nach Kassel,,Kassel,,,,"Eilbrf, Eing. Göttingen 21. 7. 19; hohes Fieber; zu Rudis Stück  ""Die Schwester"""
291,"Ehrenberg,  Rudolf","Rosenstock-H.,  Eugen",1919-07-20,Göttingen,,Kassel,,,,"zum Erscheinen der ""Predigten"""
292,"Ehrenberg, Rudolf","Rosenstock-H., Eugen",1919-07-22,,,Kassel,,,,"Titelvorschlag für die ""Predigten""; liest ""heute"" anderen Text Franz in C[assel] vor"
293,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-07-24,Kassel,,Kassel,,,,Da PostStp; wie die Copyrightnotiz des Stern lauten soll. Vgl. Schluß des Stern
294,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-07-25,,,Kassel,,,,der Abschiedskuss als die - gegebene - gemeinsame Form
295,"Ehrenberg, Rudolf",Rosenstock-H. Margrit,1919-07-27,Göttingen,,Kassel,,,,"Fragm; das Stück ""Erste"" ist fertig; Bitte um Rundschicken.an die Freunde"
296,"Ehrenberg,  Rudolf","Rosentock-H. , Margrit",1919-07-28,,,Kassel,,,,zu einer Verabredung am Feldberg; zum Konflikt Franz-Eugen über Jude u Christ.
297,"Ehrenberg,  Rudolf","Rosentock-H. , Margrit",1919-07-31,G.öttingen,,Kassel,,,,"zu zwei Texten, ""das Erste"" u ""das Letzte""; wird Franz in Cassel treffen"
298,"Rosenzweig,  Franz","Rosenstock-H. , Eugen",1919-08-01,,,Kassel,,,,"""Ich  bin schon froh, dass du mir wieder schreibst."""
299,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-08-01,,,Kassel,,,,"""So ist der Schluss gut ..."" Jahr vgl. D10,36"
300,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-08-04,Kassel,,Kassel,,,,eine Textkritik  - an welchem Werk?
301,"Rosenzweig,  Franz","Rosenstock-H. , Eugen",1919-08-05,,,Kassel,,,,zur Veröffentlichung des Hegel - welcher Verlag?
302,"Ehrenberg,  Rudolf","Rosenstock-H., Eugen",1919-08-06,H.eidelberg,,Kassel,,,,zur Verabredung im Schwarzwald
303,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-10,,,Kassel,,,,über Kontakt zu Verleger für Predigten (?);  über Emil Beckerath
304,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-08-13,Jahr GB,,Kassel,,,,ging ein Brief verloren? s. GB S. 385/86. (die Ausl. betr. Weizsäcker)
305,"Rosenzweig,  Franz","Rosenstock-H. , Eugen",1919-08-17,,,Kassel,,,,Bittere Klage über eine ausgebliebene Anwort
306,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-08-17,Dat in GB,,Kassel,,,,"Dat: ""gleich hinterher"", nämlich nach [D10,46: Antwort gefunden!"
307,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-17,,,Kassel,,,,"zum Erscheinen des Stern in jüd. Verlag; zu einem  Konflikt mit Eugen, vgl.[F57,6"
308,"Rosenzweig,  Franz","Rosenstock-H ., Eugen",1919-08-17,,,Kassel,,,,"grundstzl. zum Jude Sein; Ich bin Dein Franz, 'esti' = gottgeschichtliche Tatsache"
